,Constituency,Const. No.,Leading Candidate,Leading Party,Won,Trailing Candidate,Trailing Party,Margin
84,CHIDAMBARAM,27,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,2,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,103554
85,COIMBATORE,20,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,22,ANNAMALAI K,Bharatiya Janata Party,118068
86,CUDDALORE,26,M.K. VISHNUPRASAD,Indian National Congress,9,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,185896
87,DHARMAPURI,10,MANI. A.,Dravida Munnetra Kazhagam,22,SOWMIYA ANBUMANI,Pattali Makkal Katchi,21300
88,DINDIGUL,22,SACHITHANANTHAM R,Communist Party of India  (Marxist),2,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,443821
89,ERODE,17,K E PRAKASH,Dravida Munnetra Kazhagam,22,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,236566
90,KALLAKURICHI,14,MALAIYARASAN D,Dravida Munnetra Kazhagam,22,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,53784
91,KANCHEEPURAM,6,SELVAM. G,Dravida Munnetra Kazhagam,22,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,221473
92,KANNIYAKUMARI,39,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,9,RADHAKRISHNAN P,Bharatiya Janata Party,179907
93,KARUR,23,JOTHIMANI. S,Indian National Congress,9,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,166816
94,KRISHNAGIRI,9,GOPINATH K,Indian National Congress,9,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,192486
95,MADURAI,32,VENKATESAN S,Communist Party of India  (Marxist),2,RAAMA SREENIVASAN,Bharatiya Janata Party,209409
96,MAYILADUTHURAI,28,SUDHA R,Indian National Congress,9,BABU P,All India Anna Dravida Munnetra Kazhagam,271183
97,NAGAPATTINAM,29,SELVARAJ V,Communist Party of India,2,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,208957
98,NAMAKKAL,16,MATHESWARAN V S,Dravida Munnetra Kazhagam,22,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,29112
