,S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
49,50,Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,374017,109801
50,51,Outer Manipur(2),ALFRED KANNGAM S ARTHUR,384954,85418
51,52,Tura(2),SALENG A SANGMA,383919,155241
52,53,Nagaland(1),S SUPONGMEREN JAMIR,401951,50984
53,54,Koraput(21),SAPTAGIRI SANKAR ULAKA,471393,147744
54,55,Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861
55,56,Amritsar(2),GURJEET SINGH AUJLA,255181,40301
56,57,Jalandhar(4),CHARANJIT SINGH CHANNI,390053,175993
57,58,Ludhiana(7),AMRINDER SINGH RAJA WARRING,322224,20942
58,59,Fatehgarh Sahib(8),AMAR SINGH,332591,34202
59,60,Firozpur(10),SHER SINGH GHUBAYA,266626,3242
60,61,Patiala(13),DR DHARAMVIRA GANDHI,305616,14831
61,62,GANGANAGAR (1),KULDEEP INDORA,726492,88153
62,63,CHURU(3),RAHUL KASWAN,728211,72737
63,64,JHUNJHUNU     (4),BRIJENDRA SINGH OLA,553168,18235
64,65,BHARATPUR (9),SANJNA JATAV,579890,51983
65,66,KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,530011,98945
66,67,DAUSA (11),MURARI LAL MEENA,646266,237340
67,68,TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949
68,69,BARMER(17),UMMEDA RAM BENIWAL,704676,118176
69,70,TIRUVALLUR(1),Sasikanth Senthil,796956,572155
70,71,KRISHNAGIRI(9),GOPINATH K,492883,192486
71,72,KARUR(23),JOTHIMANI. S,534906,166816
72,73,CUDDALORE(26),M.K. VISHNUPRASAD,455053,185896
73,74,MAYILADUTHURAI(28),SUDHA R,518459,271183
74,75,SIVAGANGA(31),KARTI P CHIDAMBARAM,427677,205664
75,76,VIRUDHUNAGAR(34),MANICKAM TAGORE B,385256,4379
76,77,TIRUNELVELI(38),ROBERT BRUCE C,502296,165620
77,78,KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907
78,79,Saharanpur(1),IMRAN MASOOD,547967,64542
79,80,Sitapur(30),RAKESH RATHOR,531138,89641
80,81,Rae Bareli(36),RAHUL GANDHI,687649,390030
81,82,Amethi(37),KISHORI LAL,539228,167196
82,83,Allahabad(52),UJJWAL RAMAN SINGH,462145,58795
83,84,Barabanki(53),TANUJ PUNIA,719927,215704
84,85,Maldaha Dakshin(8),ISHA KHAN CHOUDHURY,572395,128368
85,86,KORBA(4),JYOTSNA CHARANDAS MAHANT,570182,43283
86,87,Khunti(11),KALI CHARAN MUNDA,511647,149675
87,88,Lohardaga(12),SUKHDEO BHAGAT,483038,139138
88,89,Peddapalle (2),VAMSI KRISHNA GADDAM,475587,131364
89,90,Zahirabad(5),SURESH KUMAR SHETKAR,528418,46188
90,91,Nagarkurnool(12),DR.MALLU RAVI,465072,94414
91,92,Nalgonda(13),KUNDURU RAGHUVEER,784337,559905
92,93,Bhongir (14),CHAMALA KIRAN KUMAR REDDY,629143,222170
93,94,Warangal(15),KADIYAM KAVYA,581294,220339
94,95,Mahabubabad  (16),BALRAM NAIK PORIKA,612774,349165
95,96,Khammam (17),RAMASAHAYAM RAGHURAM REDDY,766929,467847
96,97,Chandigarh(1),MANISH TEWARI,216657,2504
97,98,Lakshadweep(1),MUHAMMED HAMDULLAH SAYEED,25726,2647
98,99,PUDUCHERRY(1),VE VAITHILINGAM,426005,136516
