,Sl.No,State,PC Name,Count of Elector,Poll(%),Count of Votes
317,32,Jharkhand,Khunti,1326138,69.93,927422
318,33,Jharkhand,Lohardaga,1441302,66.45,957690
319,34,Jharkhand,Palamau,2243034,61.27,1374358
320,35,Jharkhand,Singhbhum,1447562,69.32,1003482
321,36,Madhya Pradesh,DEWAS,1940472,75.48,1464690
322,37,Madhya Pradesh,DHAR,1953834,72.76,1421585
323,38,Madhya Pradesh,INDORE,2526803,61.67,1558341
324,39,Madhya Pradesh,KHANDWA,2112203,71.52,1510588
325,40,Madhya Pradesh,KHARGONE,2046030,76.03,1555585
326,41,Madhya Pradesh,MANDSOUR,1898060,75.27,1428623
327,42,Madhya Pradesh,RATLAM,2094548,72.94,1527828
328,43,Madhya Pradesh,UJJAIN,1798704,73.82,1327715
329,44,Maharashtra,Ahmednagar,1981866,66.61,1320168
330,45,Maharashtra,Aurangabad,2059710,63.03,1298227
331,46,Maharashtra,Beed,2142547,70.92,1519526
332,47,Maharashtra,Jalgaon,1994046,58.47,1165968
333,48,Maharashtra,Jalna,1967574,69.18,1361226
334,49,Maharashtra,Maval,2585018,54.87,1418439
335,50,Maharashtra,Nandurbar,1970327,70.68,1392635
336,51,Maharashtra,Pune,2061276,53.54,1103678
337,52,Maharashtra,Raver,1821750,64.28,1170944
338,53,Maharashtra,Shirdi ,1677335,63.03,1057298
339,54,Maharashtra,Shirur,2539702,54.16,1375593
340,55,Odisha,Berhampur,1591380,65.41,1040924
341,56,Odisha,Kalahandi,1700780,77.9,1324936
342,57,Odisha,Koraput,1480922,77.53,1148182
343,58,Odisha,Nabarangpur,1514140,82.16,1243957
344,59,Telangana,Adilabad ,1650175,74.03,1221553
345,60,Telangana,Bhongir,1808585,76.78,1388680
346,61,Telangana,Chevella,2938370,56.4,1657107
347,62,Telangana,Hyderabad,2217094,48.48,1074827
348,63,Telangana,Karimnagar ,1797150,72.54,1303690
349,64,Telangana,Khammam ,1631039,76.09,1241135
350,65,Telangana,Mahabubabad  ,1532366,71.85,1101030
351,66,Telangana,Mahbubnagar,1682470,72.43,1218587
352,67,Telangana,Malkajgiri,3779596,50.78,1919131
353,68,Telangana,Medak,1828210,75.09,1372894
354,69,Telangana,Nagarkurnool,1738254,69.46,1207470
355,70,Telangana,Nalgonda,1725465,74.02,1277137
356,71,Telangana,Nizamabad,1704867,71.92,1226133
357,72,Telangana,Peddapalle,1596430,67.87,1083467
358,73,Telangana,Secunderabad,2120401,49.04,1039834
359,74,Telangana,Warangal,1824466,68.86,1256301
360,75,Telangana,Zahirabad,1641410,74.63,1225049
361,76,Uttar Pradesh,Akbarpur,1869167,57.78,1079978
362,77,Uttar Pradesh,Baharaich,1838684,57.42,1055818
363,78,Uttar Pradesh,Dhaurahra,1719345,64.54,1109680
364,79,Uttar Pradesh,Etawah,1828498,56.36,1030554
365,80,Uttar Pradesh,Farrukhabad,1747182,59.08,1032244
366,81,Uttar Pradesh,Hardoi,1910485,57.52,1098820
